Protein_ID	Cancer Driver
DICER1-203	Census, Compendium
HNRNPA2B1-232	Census, Compendium
AFF3-205	Census, Compendium
TSC1-201	Census, Compendium
NTRK3-205	Census, Compendium
PDE4DIP-259	Census, Compendium
HNRNPA2B1-203	Census, Compendium
ESR1-204	Census, Compendium
BRCA1-211	Census, Compendium
RAD21-207	Census, Compendium
MAX-202	Census, Compendium
TAF15-214	Census, Compendium
TEC-202	Census, Compendium
BRD4-210	Census, Compendium
PDGFRA-204	Census, Compendium
BCL11A-213	Census, Compendium
PMS2-216	Census, Compendium
NF1-231	Census, Compendium
ARID2-201	Census, Compendium
TNFAIP3-201	Census, Compendium
BCOR-209	Census, Compendium
TP53-219	Census, Compendium
CTNNB1-254	Census, Compendium
NONO-207	Census, Compendium
DROSHA-201	Census, Compendium
TCF7L2-216	Census, Compendium
LATS1-207	Census, Compendium
IRF4-206	Census, Compendium
CHEK2-202	Census, Compendium
BTK-210	Census, Compendium
NOTCH1-204	Census, Compendium
PIK3CA-203	Census, Compendium
ZBTB16-217	Census, Compendium
ID3-201	Census, Compendium
DDX3X-236	Census, Compendium
BCL9-204	Census, Compendium
KDM5C-218	Census, Compendium
CTNNB1-233	Census, Compendium
CAMTA1-210	Census, Compendium
HLA-A-219	Census, Compendium
TSC2-227	Census, Compendium
NFATC2-203	Census, Compendium
NRG1-201	Census, Compendium
ARAF-202	Census, Compendium
SETD2-209	Census, Compendium
IKZF1-201	Census, Compendium
ARID2-202	Census, Compendium
ETV5-206	Census, Compendium
KDM5A-201	Census, Compendium
KMT2C-215	Census, Compendium
KIT-208	Census, Compendium
SETD2-202	Census, Compendium
KAT6B-235	Census, Compendium
IL6ST-224	Census, Compendium
PBRM1-221	Census, Compendium
TP63-210	Census, Compendium
KAT6B-217	Census, Compendium
PMS2-237	Census, Compendium
RGS7-204	Census, Compendium
CTNNB1-204	Census, Compendium
BRCA2-201	Census, Compendium
BCOR-212	Census, Compendium
CHEK2-224	Census, Compendium
MDM2-224	Census, Compendium
SF3B1-204	Census, Compendium
BCL2-201	Census, Compendium
FANCD2-213	Census, Compendium
TFG-212	Census, Compendium
GNAS-261	Census, Compendium
GRIN2A-201	Census, Compendium
PRKCB-210	Census, Compendium
WAS-201	Census, Compendium
RAF1-244	Census, Compendium
RGS7-226	Census, Compendium
MALT1-201	Census, Compendium
ACVR1-204	Census, Compendium
TAF15-203	Census, Compendium
KEAP1-207	Census, Compendium
RAF1-221	Census, Compendium
CTNNB1-206	Census, Compendium
IRF4-201	Census, Compendium
RAF1-270	Census, Compendium
MED12-202	Census, Compendium
ZNF521-203	Census, Compendium
CNOT3-208	Census, Compendium
TET2-208	Census, Compendium
MYH9-221	Census, Compendium
FGFR3-204	Census, Compendium
KDM5C-222	Census, Compendium
RGS7-237	Census, Compendium
RGPD3-202	Census, Compendium
EPHA7-206	Census, Compendium
USP9X-211	Census, Compendium
MEN1-209	Census, Compendium
MSI2-201	Census, Compendium
NUMA1-233	Census, Compendium
CYSLTR2-202	Census, Compendium
POLD1-216	Census, Compendium
PBRM1-210	Census, Compendium
MLLT3-209	Census, Compendium
NUMA1-224	Census, Compendium
TFG-208	Census, Compendium
ERBB3-219	Census, Compendium
WNK2-204	Census, Compendium
ESR1-203	Census, Compendium
LZTR1-223	Census, Compendium
BCL2-202	Census, Compendium
ATM-240	Census, Compendium
KAT6A-202	Census, Compendium
RAP1GDS1-202	Census, Compendium
STAT5B-219	Census, Compendium
JAK3-201	Census, Compendium
USP44-201	Census, Compendium
JAK3-204	Census, Compendium
KEAP1-209	Census, Compendium
PTPN11-208	Census, Compendium
RNF213-220	Census, Compendium
STAG2-207	Census, Compendium
STAT6-222	Census, Compendium
ETV5-202	Census, Compendium
GNA11-201	Census, Compendium
MYH9-215	Census, Compendium
XPO1-224	Census, Compendium
PTPRD-203	Census, Compendium
ATM-203	Census, Compendium
XPO1-206	Census, Compendium
NPM1-219	Census, Compendium
FLT4-206	Census, Compendium
MDM2-225	Census, Compendium
WNK2-205	Census, Compendium
PABPC1-222	Census, Compendium
PRKAR1A-218	Census, Compendium
XPO1-248	Census, Compendium
KAT6A-201	Census, Compendium
KDM6A-228	Census, Compendium
SIX1-205	Census, Compendium
ZRSR2-205	Census, Compendium
HLA-A-222	Census, Compendium
RUNX1T1-202	Census, Compendium
JAK3-202	Census, Compendium
MSI2-224	Census, Compendium
RUNX1T1-226	Census, Compendium
DDX3X-242	Census, Compendium
USP44-202	Census, Compendium
STAT3-231	Census, Compendium
EXT2-214	Census, Compendium
AFF1-202	Census, Compendium
SPOP-213	Census, Compendium
CDH11-202	Census, Compendium
CD79B-202	Census, Compendium
DDB2-211	Census, Compendium
CXCR4-205	Census, Compendium
PTPN13-209	Census, Compendium
ACSL3-234	Census, Compendium
TRRAP-202	Census, Compendium
AMER1-201	Census, Compendium
HRAS-206	Census, Compendium
RAF1-220	Census, Compendium
B2M-209	Census, Compendium
KDM5C-204	Census, Compendium
IDH1-206	Census, Compendium
MED12-203	Census, Compendium
MALT1-210	Census, Compendium
DDX3X-244	Census, Compendium
ERBB2-201	Census, Compendium
FOXL2-201	Census, Compendium
SOX21-201	Census, Compendium
NSD2-227	Census, Compendium
IDH1-202	Census, Compendium
MLLT1-201	Census, Compendium
DCC-202	Census, Compendium
BCL11A-211	Census, Compendium
KMT2A-201	Census, Compendium
FBXO11-201	Census, Compendium
CHEK2-209	Census, Compendium
DAXX-204	Census, Compendium
SPOP-210	Census, Compendium
NTRK1-212	Census, Compendium
CASP8-211	Census, Compendium
EPS15-216	Census, Compendium
LPP-206	Census, Compendium
MYC-202	Census, Compendium
RNF213-204	Census, Compendium
CHEK2-212	Census, Compendium
POLD1-201	Census, Compendium
RAF1-201	Census, Compendium
HNRNPA2B1-243	Census, Compendium
TSC2-222	Census, Compendium
FANCA-237	Census, Compendium
CDKN2A-208	Census, Compendium
NIN-214	Census, Compendium
BRCA1-209	Census, Compendium
EIF3E-239	Census, Compendium
AXIN2-203	Census, Compendium
STAT6-202	Census, Compendium
FGFR1-208	Census, Compendium
NBEA-244	Census, Compendium
BMPR1A-205	Census, Compendium
EML4-202	Census, Compendium
ENST00000427497	Census, Compendium
NCOR2-205	Census, Compendium
KMT2A-232	Census, Compendium
PDE4DIP-203	Census, Compendium
TP53-201	Census, Compendium
MED12-233	Census, Compendium
BCOR-206	Census, Compendium
SLC45A3-201	Census, Compendium
CYLD-201	Census, Compendium
TSC2-248	Census, Compendium
BRAF-220	Census, Compendium
NUP214-202	Census, Compendium
BRCA1-230	Census, Compendium
FAT3-201	Census, Compendium
FANCA-204	Census, Compendium
MED12-225	Census, Compendium
PMS2-258	Census, Compendium
STAG2-203	Census, Compendium
NOTCH1-214	Census, Compendium
CTCF-212	Census, Compendium
WNK2-201	Census, Compendium
CASP8-218	Census, Compendium
BCLAF1-213	Census, Compendium
TSC2-228	Census, Compendium
KAT6A-215	Census, Compendium
CLTC-201	Census, Compendium
CPEB3-201	Census, Compendium
SMARCA4-239	Census, Compendium
CLIP1-219	Census, Compendium
SPOP-219	Census, Compendium
SETD1B-203	Census, Compendium
CYLD-207	Census, Compendium
SUZ12-201	Census, Compendium
MED12-234	Census, Compendium
FAS-238	Census, Compendium
HLA-A-218	Census, Compendium
NFE2L2-201	Census, Compendium
HNRNPA2B1-241	Census, Compendium
PTPN6-223	Census, Compendium
NTRK1-203	Census, Compendium
BRCA1-206	Census, Compendium
HRAS-210	Census, Compendium
