Gene	Tier	Role in Cancer	Tumour Types(Somatic)	Tumour Types(Germline)
AR	1	oncogene	prostate	
FH	1	TSG		leiomyomatosis, renal
ALK	1	oncogene, fusion	ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour	neuroblastoma
APC	1	TSG	colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS	colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS
ATM	1	TSG	T-PLL	leukaemia, lymphoma, medulloblastoma, glioma
ATR	1	TSG	endometrial, gastric, epithelial ovarian, myeloma	oropharyngeal
B2M	1	TSG	DLBCL, melanoma, colorectal adenocarcinoma	
BAX	1	TSG	colorectal cancer	
BCR	1	fusion	CML, ALL, AML	
BLM	1	TSG		leukaemia, lymphoma, skin squamous cell, other tumour types
BTK	1	oncogene, TSG	CLL, mantle cell lymphoma, WM	
CBL	1	oncogene, TSG, fusion	AML, JMML, MDS	
CIC	1	oncogene, TSG, fusion	oligodendroglioma, soft tissue sarcoma	
DCC	2		CRC, melanoma, SCC	
DEK	1	oncogene, fusion	AML	
EED	2	TSG	malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma	
ELL	1	TSG, fusion	AL	
ELN	2	fusion	B-ALL	
ERG	1	oncogene, fusion	Ewing sarcoma, prostate, AML	
EZR	1	fusion	NSCLC	
FAS	1	TSG	TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related	
FES	1	oncogene, TSG	HNSCC, ovarian carcinoma	
FEV	1	oncogene, fusion	Ewing sarcoma	
FUS	1	TSG, fusion	liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma	
HLF	1	oncogene, fusion	ALL	
ID3	2	TSG	Burkitt lymphoma	
IGH	1	fusion	MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS	
IGK	1	fusion	Burkitt lymphoma, B-NHL	
IGL	1	fusion	Burkitt lymphoma	
IL2	1	fusion	intestinal T-cell lymphoma	
ISX	2		melanoma	
ITK	1	fusion	peripheral T-cell lymphoma	
JUN	1	oncogene	sarcoma	
KDR	1	oncogene	NSCLC, angiosarcoma	melanoma
KIT	1	oncogene	GIST, AML, TGCT, mastocytosis, mucosal melanoma	GIST, epithelioma
LCK	1	oncogene, fusion	T-ALL	
LPP	1	oncogene, fusion	lipoma, leukaemia	
LYN	2	oncogene, fusion	DLBCL, B-ALL, MPN	
MAF	1	oncogene, fusion	MM	
MAX	1	TSG	pheochromocytoma, endometrioid carcinoma, colon carcinoma	pheochromocytoma
MET	1	oncogene	papillary renal, head-neck squamous cell	papillary renal
