Gene	ROLE	CANCER_TYPE
ABCB1	Act	ESCA
ABI1	ambiguous	ESCA
ABL1	Act	HC, UCEC
ABL2	Act	BRCA, THCA, UCEC
ACKR3	Act	OV
ACSL3	Act	AML
ACVR1	ambiguous	HGG, UCEC
ACVR2A	LoF	COREAD, HC, PAAD, SSCC, ST, UCEC
ADGRB1		AN
AFF1	Act	CM
AFF3	ambiguous	BRCA
AJUBA	LoF	HNSC
AKT1	Act	ACY, ALL, BRCA, CESC, OS, PRAD, THCA, UCEC
AKT3	ambiguous	PRAD, SSCC
ALB	Act	HC
ALK	Act	BRCA, HC, NB, NSCLC, PRAD, SCLC
AMER1	LoF	COREAD, WT
APC	LoF	AN, BC, CH, CM, COREAD, ESCA, HC, NSCLC, PRAD, SBCC, SSCC, ST, UVM, VV
AR	Act	CH, DLBCL, MM, NSPH, PRAD
ARAF	Act	CH, CLL
ARHGAP35	LoF	LUSC, UCEC
ARHGAP5	LoF	BLCA, MM
ARHGEF10	ambiguous	ANGS, NSCLC, SCLC, SSCC
ARHGEF10L	LoF	MBL, SBCC, ST
ARHGEF12	Act	BRCA, ST
ARID1A	LoF	BLCA, BLY, BRCA, CESC, CH, CLL, COREAD, DLBCL, ESCA, GBM, HC, LGG, LUAD, LUSC, MBL, NHLY, NSCLC, OS, OV, PAAD, PIA, PRAD, RCCC, RPC, SBCC, SCLC, ST, UCEC, UCS
ARID1B	LoF	BLCA, BRCA, COREAD, DLBCL, HC, HGG, LGG, LUSC, MBL, PAAD, PIA
ARID2	LoF	BLCA, CH, CM, ESCA, HC, HNSC, LGG, LUAD, MBL, NSCLC, PAAD, PIA, SSCC, ST, THCA
ASXL1	LoF	ALL, AML, BRCA, CLL, ESCA, HGG, HNSC, MBL, PIA, PRAD, RCCC
ASXL2	LoF	AML, BLCA
ATF7IP	LoF	LUAD, UCEC
ATG7	LoF	RCCC
ATM	LoF	BLCA, BRCA, CH, CLL, COREAD, ESCA, HC, HGG, LUAD, MM, NB, NSCLC, PAAD, PAIS, PRAD, RCCC, SCLC, ST, THCA, UCEC
ATR	LoF	CM, UCEC
ATRX	LoF	ACC, CLL, GBM, HGG, LEIS, LGG, NB, OS, OV, PAIS, PIA, S
AXIN1	LoF	ESCA, GBM, HC
AXIN2	LoF	HC
B2M	LoF	CESC, DLBCL, HNSC, LY, NHLY, NSCLC
BAP1	LoF	BRCA, CESC, CH, CM, ESCA, HC, MESO, NSCLC, PAAD, RCCC, RPC, UVM
BCL10	ambiguous	DLBCL
BCL11A	Act	NHLY
BCL11B	Act	DLBCL, GBM, PAAD, VV
BCL2	Act	DLBCL, LY
BCL2L12	ambiguous	CM
BCL6	Act	DLBCL, NHLY
BCL7A	Act	DLBCL, MM
BCL9	Act	COREAD, ST
BCL9L	Act	COREAD
BCLAF1	Act	AML, CM, ST
BCOR	LoF	ACC, ALL, AML, CH, CLL, COREAD, EWS, GBM, MBL, PIA, ST, THYM, UCEC, UCS
BCORL1	LoF	COREAD, HGG, NB, OS, PAAD
BCR	Act	CLL, DLBCL, LUSC, LY, SCLC
BIRC3	Act	CLL
BIRC6	ambiguous	BLCA, CH, COREAD, DLBCL, ESCA, HC, HNSC, MGCT, NHLY, PAAD, PCPG, UCEC
BMPR1A	LoF	COREAD, ST
BMPR2	LoF	ST
BRAF	Act	BLCA, BRCA, CLL, CM, COREAD, DLBCL, GBM, HGG, LGG, LUAD, LUSC, MM, NSCLC, OV, PIA, PRAD, RPC, THCA, UCEC
BRCA1	LoF	BRCA, OV
BRCA2	LoF	BLCA, BRCA, CM, COREAD, HNSC, MBL, OV, PAAD, PRAD, VV
BRD4	Act	BLCA, PRAD
BRD7	LoF	CM, HC
BTG1	ambiguous	CLL, DLBCL, LY, MM, NHLY
BTK	Act	LUAD, NHLY
CACNA1D	ambiguous	BRCA, GBM, HC, OV, ST
CAMTA1	LoF	HC
CARD11	Act	BLY, COREAD, DLBCL, HC, LY, NHLY
CARS	ambiguous	ST
CASP8	LoF	BLCA, BRCA, CESC, HNSC, SBCC, ST, VV
CASZ1	LoF	PRAD
CBFA2T3	Act	CESC
CBFB	Act	BRCA
CBL	Act	ALL, AML
CCDC6	LoF	COREAD
CCND1	Act	MM, UCEC
CCND2	Act	AML, CLL
CCND3	Act	BLY, DLBCL, LY, NHLY
CCR7	LoF	DLBCL
CD58	LoF	DLBCL, NHLY
CD79B	Act	DLBCL, NHLY
CDC73	LoF	LUAD
CDH1	LoF	BLCA, BRCA, DLBCL, SSCC, ST
CDH10	Act	LUAD, LUSC, PAAD
CDH11	ambiguous	CH, CM, ESCA, HC, LUSC, ST
CDK12	LoF	CESC, CM, OV, PRAD, ST
CDK4	Act	CM
CDKN1A	LoF	BLCA, HC, RCH
CDKN1B	LoF	BCNET, BRCA, DLBCL, HC, MM, PRAD
CDKN2A	LoF	ACY, BLCA, BRCA, CH, CM, ESCA, GBM, HC, HNSC, LGG, LUAD, LUSC, NSCLC, OS, PAAD, RCCC, SSCC, ST, VV
CDKN2C	LoF	HGG, LGG
CDX2	Act	ESCA
CEBPA	ambiguous	AML
CHD2	LoF	BLCA, CLL, OS, RPC
CHD4	Act	ALL, BLCA, RCH, UCEC, UCS
CHEK2	LoF	THCA
CIC	LoF	LGG, LUAD
CIITA	Act	DLBCL, HNSC
CLIP1	LoF	BC, CESC, LUAD, ST
CLTC	Act	BRCA, CH, HC
CLTCL1	Act	HC
CMTR2	LoF	LUAD, NSCLC
CNOT3	Act	CLL, PRAD
CNOT9		CM
COL1A1	Act	CESC, CM, GBM, MM, SBCC
CPEB3	Act	SBCC
CR1	ambiguous	AML, MM
CREBBP	LoF	ALL, BLCA, BRCA, CLL, DLBCL, ESCA, HC, HNSC, LUSC, LY, MBL, NHLY, PAIS, PIA, SBCC, SCLC, SG, VV
CRNKL1	Act	CM
CRTC1	ambiguous	ACY
CSF3R	Act	AML
CTCF	LoF	ALL, AML, BRCA, HNSC, NSCLC, UCEC
CTNNB1	Act	ACC, COREAD, HBC, HC, LUAD, MBL, NSCLC, PIA, PRAD, RHBDS, SBCC, ST, UCEC, WT
CUL3	LoF	HNSC, LUSC, NSCLC, PRAD, RPC
CUX1	ambiguous	BRCA, CM, GBM, LUAD, NSCLC, THCA, UCEC
CXCR4	Act	DLBCL
CYLD	LoF	HNSC, MM, NSPH, THYM
CYP2C8	LoF	CM, MESO
CYSLTR2	Act	UVM
DAXX	LoF	ACC, PAIS
DAZAP1	LoF	DLBCL
DCAF12L2	Act	GBM, PRAD
DCC	LoF	ESCA, PAAD
DCSTAMP	Act	ST
DDB2	LoF	AML
DDX3X	LoF	BLY, BRCA, CLL, CM, DLBCL, HNSC, LY, MBL, MESO, NHLY, PIA
DDX6	ambiguous	MBL
DGCR8	LoF	DLBCL, THCA, WT
DHX9	Act	HC
DICER1	LoF	COREAD, UCEC
DIS3	LoF	MM
DNAJB1	LoF	BLCA
DNMT3A	LoF	AML, HC, LGG, MDPS, PRAD, RPC, THCA
DOT1L	LoF	DLBCL
DROSHA	LoF	LUSC, WT
DTX1	ambiguous	CLL
DUSP16	LoF	COREAD
EBF1	ambiguous	DLBCL, LUSC, NHLY
EFTUD2	ambiguous	MM
EGFR	Act	BRCA, COREAD, GBM, HGG, LGG, LUAD, MM, NSCLC, PIA
EGR2	ambiguous	CLL
EHD2	ambiguous	PRAD
EIF1AX	LoF	PRAD, THCA, THYM, UCEC, UVM
EIF3E	Act	CESC, COREAD
ELF3	LoF	BLCA, CH
ELF4	Act	AML
ELL	ambiguous	CM, HNSC, OV
ELN	ambiguous	BRCA
EML4	ambiguous	ESCA, SCLC
ENPEP	ambiguous	BC
EP300	LoF	BLCA, CESC, COREAD, DLBCL, ESCA, HC, HNSC, LUSC, MBL, NHLY, NSPH, SCLC
EPAS1	Act	BRCA, PCPG, SSCC
EPHA2	LoF	CH
EPHA3	ambiguous	BRCA, CM, COREAD, ESCA, PRAD
EPHA7	ambiguous	LUAD, OV, THCA
EPS15	Act	PRAD
ERBB2	Act	BLCA, BRCA, CESC, CH, COREAD, ESCA, NSCLC, OV, RPC, ST
ERBB3	Act	BLCA, BRCA, CESC, CH, COREAD, NB, PRAD, ST, UCEC, UCS
ERBB4	LoF	BLCA, BRCA, ESCA
ERCC2	LoF	BLCA
ERCC3	LoF	CM
ERG	Act	OV, PRAD
ESR1	Act	BRCA, LUSC, OS, SBCC, UCEC
ESRRA	Act	ACY
ETV4	LoF	NB
ETV5	Act	AML, BRCA
ETV6	Act	ALL, DLBCL, NHLY
EWSR1	Act	EWS
EXT2	LoF	CH
EZH2	LoF	ALL, AML, DLBCL, EWS, LUAD, LY, NHLY
FAM135B	Act	ESCA, HNSC, LUSC, PAAD, UCS
FAM174B	ambiguous	MBL, PIA, PRAD
FAM186A	ambiguous	DLBCL, THCA
FAM46C	LoF	MM
FANCA	LoF	VV
FANCC	LoF	GBM
FANCD2	LoF	CM, COREAD
FANCF	LoF	BLCA
FAS	LoF	CESC, DLBCL
FAT1	LoF	AN, BCNET, BLCA, BRCA, CESC, CLL, ESCA, HC, HNSC, LUSC, MBL, OV, PAAD, PRAD, SBCC, SSCC, ST, UCEC, UVM, VV
FAT2	Act	VV
FAT3	ambiguous	BCNET, BRCA, CLL, CM, COREAD, DLBCL, ESCA, HNSC, LUSC, PAAD, PRAD, SBCC, ST, THCA
FAT4	LoF	ACC, ALL, AML, BRCA, CLL, CM, COREAD, DLBCL, ESCA, GBM, HC, HNSC, LUAD, LY, MESO, MGCT, MM, NSCLC, PAAD, PAIS, PRAD, SBCC, SCLC, ST
FBLN1	Act	BC
FBN2	ambiguous	HNSC, NB
FBXO11	LoF	BLY, NHLY
FBXW7	LoF	BLCA, BRCA, CESC, CH, CLL, COREAD, ESCA, HNSC, LUSC, MBL, NSPH, PAAD, PIA, ST, UCEC, UCS
FGD5	Act	AML
FGFR1	Act	BLCA, MBL, OV, PCPG, PIA, PRAD
FGFR2	Act	BRCA, CH, LUSC, SG, UCEC
FGFR3	Act	BLCA, HNSC, LUSC, MESO, MM
FGFR4	Act	GBM
FH	LoF	NSCLC
FHIT	ambiguous	DLBCL, ST
FLCN	LoF	COREAD
FLT3	Act	ALL, AML
FLT4	ambiguous	ANGS, BLCA, HC, LUAD, LUSC, NB, SBCC
FN1	LoF	LUSC
FOXA1	LoF	BRCA, PRAD
