P01106 DI1000001 55 68
P04637 DI1000002 367 386
P04637 DI1000003 41 62
P03126 DI1020001 148 158
P03255 DI1020002 50 91
P04637 DI1000004 35 59
Q04206 DI1000005 304 316
P61836 DI1010001 2 22
O75496 DI1000006 171 190
O75928 DI1000007 466 490
Q13094 DI1010002 232 242
P04637 DI1010003 20 73
P04637 DI1000008 1 39
P04637 DI1000009 1 93
P05067 DI1010004 754 767
P04486 DI1120001 456 490
P07766 DI1000010 181 192
P23025 DI1000011 67 80
P03079 DI1020003 321 331
P20963 DI1000012 137 150
P24928 DI1000013 1804 1816
P25054 DI1000014 1578 1596
Q15637 DI1000015 13 25
Q9Y5B0 DI1000016 879 961
B1AAA7 DI1400001 486 505
Q01831 DI1000017 847 863
P42224 DI1010005 706 750
Q64010 DI1010006 217 229
P52630 DI1010007 782 838
Q71DI3 DI1000018 23 43
Q6VMQ6 DI1000019 938 981
P62805 DI1000020 14 28
Q9UER7 DI1000021 719 740
P68431 DI1000022 2 15
Q548Y4 DI1100001 421 490
Q05195 DI1010008 8 20
Q61337 DI1100002 137 163
Q16665 DI1000023 785 826
P61836 DI1010009 2 16
Q16665 DI1010010 776 826
Q16695 DI1000024 2 8
P61830 DI1010011 2 16
P61836 DI1010012 2 11
Q99967 DI1010013 220 269
P68431 DI1000025 2 13
P04637 DI1010014 13 29
P62806 DI1100003 2 21
B7UM99 DI1020004 471 481
P84243 DI1000026 2 17
P35222 DI1010015 772 781
Q24246 DI1100004 123 138
P05067 DI1000027 736 770
P01730 DI1000028 428 450
P03126 DI1020005 152 158
P04637 DI1000029 15 29
P04637 DI1010016 17 37
P62805 DI1000030 13 22
P04637 DI1000031 15 29
P20963 DI1020006 63 80
Q0VAS5 DI2000001 2 11
P08050 DI2010001 374 382
P68431 DI1010017 5 15
Q8NG31 DI1000032 174 226
P04637 DI1000033 33 60
P05067 DI1000034 754 766
Q8N488 DI1000035 143 179
P0DJ89 DI1020007 220 267
O60828 DI1000036 223 265
O00401 DI1000037 346 357
P68431 DI1000038 2 22
Q12972 DI1000039 160 214
P25054 DI1000040 1484 1498
Q03164 DI1000041 140 160
O75533 DI1000042 333 342
P27797 DI1000043 195 206
Q92133 DI1010018 2 16
Q92133 DI1010019 20 34
P05067 DI1010020 699 706
P05067 DI1010021 707 713
Q79416 DI1120002 9 26
Q72497 DI1020008 453 461
P02643 DI1110001 116 132
Q8R050 DI1010022 64 82
P25054 DI1000044 2034 2049
O35740 DI1010023 215 258
P08592 DI1110002 755 763
P12023 DI1100005 739 770
P02299 DI1100006 2 17
P07276 DI1100007 640 691
P40343 DI1100008 255 278
P12978 DI1120003 453 465
P14736 DI1100009 74 115
P62552 DI2200001 37 72
P84244 DI1110003 16 33
Q04206 DI1010024 519 551
Q01831 DI1000045 105 156
P48788 DI1000046 116 132
P62805 DI1000047 2 11
P62805 DI1000048 5 18
P25054 DI1000049 1469 1529
Q9YGY0 DI1010025 466 482
O15169 DI1000050 383 400
Q92133 DI1010026 2 16
Q92133 DI1010027 2 16
K7ES00 DI1000051 2 12
Q3BDD9 DI1010028 2 16
Q9NS91 DI1000052 340 366
P68431 DI1000053 16 24
P84243 DI1000054 2 12
P61830 DI1100010 2 10
P09988 DI1100011 2 17
Q92133 DI1010029 2 12
A8K4Y7 DI1000055 2 11
Q7M3Y3 DI1100012 143 166
Q99075 DI1010030 185 208
P07041 DI1010031 2 21
P61830 DI1010032 32 44
K7EMV3 DI1000056 10 20
Q6TXQ4 DI1000057 17 26
Q9Y4P1 DI1000058 384 393
P06352 DI1110005 21 31
P62553 DI2210001 37 72
Q5TEC6 DI1000059 2 11
B9EI85 DI1100013 15 24
Q9BPZ3 DI1000060 106 127
K7EMV3 DI1000061 2 26
P03524 DI1020009 512 524
P0C0S8 DI1000062 2 13
Q9HCJ0 DI1000063 1382 1399
B0AZV7 DI1010033 252 262
P19429 DI1000064 145 164
Q91ZE9 DI1100014 126 152
P62805 DI1000065 16 26
P62805 DI1000066 11 17
P62805 DI2000002 8 18
P62805 DI1000067 2 13
Q04206 DI1000068 308 314
P84243 DI1000069 2 16
P61926 DI1010034 30 54
P50542 DI1000070 108 127
P50542 DI1000071 57 71
C9JK83 DI1000072 228 241
P04637 DI1000073 363 377
P04637 DI1000074 376 387
P03069 DI1100015 101 134
P13285 DI1120004 54 62
P08050 DI1100016 276 289
P24928 DI1000075 1611 1631
Q15797 DI1000076 222 233
Q8C351 DI1110006 367 381
P68431 DI1000077 32 42
P62805 DI1000078 15 28
P84022 DI1010035 202 211
P84022 DI1000079 178 189
P68431 DI1000080 16 40
P68431 DI1000081 13 25
P84243 DI1000082 2 12
P61830 DI1100017 6 12
P68431 DI1000083 4 9
P68431 DI1000084 25 32
Q13127 DI1010036 43 57
Q15797 DI1000085 220 234
Q1EHW4 DI1100018 126 186
Q05195 DI1010037 6 21
Q8R316 DI1100019 358 380
Q96QT6 DI1010038 197 241
P06352 DI1120005 14 34
O75533 DI1000086 333 342
P06492 DI2020001 465 490
P06701 DI2100001 455 481
Q61909 DI2010002 410 440
Q5TEC6 DI1010039 2 10
P84228 DI1100020 2 9
P59226 DI1100021 2 16
P07041 DI1010040 2 21
P62805 DI1000087 9 23
P0AE72 DI2200002 68 82
P20676 DI3100001 316 340
P20676 DI3100002 316 340
Q16665 DI3000001 549 582
P46527 DI3000002 181 190
P84243 DI1000088 2 16
P68431 DI1000089 2 16
O15234 DI3000003 137 286
P14598 DI1000090 359 390
P49792 DI2000003 2627 2695
P49792 DI2000004 2631 2695
O14964 DI1000091 346 354
Q05128 DI1020010 5 13
O15350 DI1000092 10 25
O75367 DI1000093 167 181
P06729 DI1000094 294 304
P01130 DI1010041 819 832
P03079 DI1020011 321 331
P04921 DI1000095 117 128
P06241 DI1000096 528 537
P11274 DI1000097 1266 1271
P11717 DI1000098 2480 2491
Q9H074 DI1000099 123 144
P13051 DI1000100 73 88
Q9NZC9 DI1000101 5 30
P24394 DI1000102 489 499
P26715 DI1000103 33 47
P29353 DI1000104 423 435
P55284 DI1100022 769 784
Q9UQC2 DI1000105 508 522
Q9UQC2 DI1000106 350 358
Q9NR28 DI1000107 56 64
O08623 DI1100023 330 346
P53990 DI1000108 341 364
Q9UQN3 DI1000109 195 213
Q8IZQ1 DI1000110 3341 3354
P02829 DI1100024 701 709
P08909 DI1100025 452 460
Q99700 DI1000111 912 928
P14842 DI1110007 465 471
P49023 DI1000112 141 160
P53990 DI1000113 342 364
Q99081 DI1000114 11 28
Q61315 DI1100026 2834 2845
Q66H76 DI1010042 291 310
P49023 DI1000115 3 12
P49023 DI1000116 2 13
P49023 DI2000005 5 14
P49023 DI2000006 143 153
P49023 DI1000117 142 153
P49024 DI1010043 139 162
P49024 DI1010044 139 162
P49023 DI1000118 263 274
P49023 DI1000119 262 274
P49023 DI1000120 262 274
P49023 DI2000007 262 273
Q811U3 DI1100027 938 948
Q06253 DI1400002 51 73
Q9BQS8 DI1000121 1276 1288
Q8VDC1 DI1010045 1232 1257
Q9H251 DI1000122 3347 3354
Q9HD42 DI1000123 180 196
Q9HD42 DI1000124 184 196
P40458 DI1100028 85 90
O88597 DI1120006 106 124
P05221 DI1110008 153 171
P05221 DI1110009 155 170
P32499 DI1100029 2 46
Q13541 DI1010046 51 64
Q13541 DI1000125 47 66
Q9NQB0 DI1000126 12 50
P01094 DI1100030 3 31
P69924 DI1200001 361 376
O97428 DI1110010 10 34
P49407 DI1000127 383 396
O43521 DI1000128 141 166
P07766 DI1000129 186 203
P63248 DI1100031 6 25
P09883 DI1200002 32 46
P20963 DI1000130 69 87
P42768 DI1000131 230 288
P70062 DI1010047 2 52
P09803 DI1100032 817 878
Q9UJY5 DI1010048 168 208
P39935 DI1100033 391 488
P60880 DI1020012 146 204
Q14449 DI1000132 373 409
Q9DCL8 DI1110011 12 169
P38936 DI3000004 143 160
O43157 DI1000133 2128 2135
O75367 DI2010003 171 186
Q8NG31 DI1000134 232 252
Q15672 DI1000135 68 79
Q7Z3K3 DI1000136 1389 1404
O75533 DI1000137 378 424
O75822 DI1000138 45 55
P00452 DI1200003 737 761
P26369 DI1100034 84 112
P61072 DI2010004 1 38
P61073 DI1000139 1 38
P04637 DI2010005 367 388
P52907 DI2010006 265 276
P38936 DI3010001 139 160
Q02248 DI1100035 78 151
Q05127 DI1400003 20 47
Q13155 DI4000001 1 36
Q8K4J6 DI1110012 14 41
Q9NQU5 DI1000140 11 45
Q9UJM3 DI1000141 336 398
P31431 DI1000142 193 198
Q24246 DI2100002 109 123
Q24246 DI2100003 126 135
Q00560 DI1100036 753 763
Q62871 DI2110001 137 151
Q62871 DI2110002 152 163
Q9VJ12 DI2010007 648 687
P48050 DI1000143 436 445
O43521 DI2010008 108 116
P19538 DI1010049 1356 1367
Q9VHV8 DI1010050 91 106
P87314 DI2100004 469 497
P55194 DI1100037 528 537
P04626 DI1000144 1135 1144
P06463 DI1120007 152 158
P05107 DI1000145 735 769
P01050 DI2110003 1 65
Q16665 DI1000146 786 826
P35222 DI2000008 19 44
P12675 DI2100005 231 241
O95405 DI1000147 771 811
O66683 DI1200004 1 88
P51123 DI1110013 11 77
Q9NSA3 DI1010051 1 81
Q14209 DI1000148 410 427
Q9JIH2 DI1100038 1 46
P46527 DI2000009 23 106
Q92793 DI1000149 2065 2111
P10747 DI1000150 189 196
P02686 DI2010009 134 144
P02686 DI2000010 218 237
P21513 DI2200003 833 850
P24928 DI1000151 1795 1803
P09651 DI1000152 309 357
Q96IZ0 DI1000153 67 81
P03255 DI1020013 40 49
Q8BX09 DI1100039 369 381
P45976 DI1100040 80 105
O50835 DI1020014 174 189
Q53971 DI1020015 1052 1066
Q53971 DI1020016 1043 1051
Q12879 DI1000154 1449 1464
P04480 DI1210001 1 107
P04480 DI1210002 53 107
P18206 DI1000155 857 867
P18206 DI1000156 870 879
P10686 DI1100041 770 787
P24928 DI1000157 1790 1803
P68363 DI1000158 416 451
Q13351 DI1000159 1 40
Q13351 DI1010052 22 40
P38862 DI1100042 601 630
P46947 DI1100043 218 256
P55036 DI1000160 263 307
Q9H211 DI1000161 413 441
Q15054 DI1000162 231 246
Q15054 DI3000005 452 466
P0ABB3 DI1210003 1 22
Q9QUG2 DI1100044 558 582
Q96CV9 DI1000163 169 185
Q96FZ7 DI1000164 166 181
O08807 DI1110014 244 263
O08807 DI1010053 244 263
P02710 DI1110015 205 223
P02710 DI1110016 209 220
P27986 DI1000165 91 104
P06437 DI1020017 50 56
P07900 DI1010054 726 732
P07900 DI1000166 726 732
P07900 DI2000011 726 732
P07900 DI1000167 728 732
P06463 DI1120008 152 158
P11717 DI1000168 2479 2491
Q71RC2 DI1000169 13 26
P14598 DI1000170 359 372
P18887 DI1000171 515 522
P29590 DI1000172 546 574
P31424 DI1100045 1155 1160
P35546 DI1100046 1055 1067
Q96J92 DI1000173 1015 1020
Q8IVP5 DI1000174 16 23
Q9UJY5 DI1000175 351 364
O60711 DI1000176 86 104
Q9N261 DI1010055 1 20
Q9N261 DI1010056 1 20
P06463 DI1020018 149 158
P20645 DI1000177 265 277
Q792Q4 DI1010057 93 101
Q9H074 DI1010058 123 144
P03079 DI1410001 321 331
P06463 DI1120009 152 158
P18827 DI1000178 303 310
Q9P270 DI1000179 574 581
Q9Y4G2 DI1000180 629 642
P53112 DI1100047 83 96
Q63511 DI1100048 388 393
Q13291 DI1000181 276 286
Q99523 DI1000182 819 831
P56817 DI1000183 494 501
Q07813 DI1010059 52 82
P53990 DI1000184 341 364
P40688 DI1100049 287 296
Q8TEU7 DI1000185 1596 1601
Q8K4M9 DI1100050 472 481
O15105 DI1000186 206 217
O15105 DI1000187 204 217
O15105 DI1000188 203 217
O15105 DI1000189 203 217
O15105 DI1000190 203 217
P40855 DI1000191 66 77
O96017 DI1010060 63 73
P0C210 DI1020019 113 124
Q96B67 DI1000192 342 354
P37088 DI1000193 638 648
Q05128 DI1020020 5 16
Q15418 DI2000012 681 735
Q15418 DI2000013 681 720
Q15418 DI1000194 712 735
O95931 DI1000195 219 248
P10636 DI1000196 542 554
P42226 DI1000197 795 808
Q16611 DI1020021 67 92
Q9HB71 DI1000198 58 70
O94966 DI1000199 461 474
Q24139 DI1100051 227 237
Q9NR28 DI1000200 56 62
Q9NR28 DI1000201 56 61
Q9NR28 DI2000014 56 70
Q92133 DI1010061 2 31
P84243 DI1000202 2 22
Q9CXW3 DI2110004 189 219
P48025 DI1010062 338 350
Q9HAU5 DI1000203 1105 1198
Q91V27 DI1010063 176 201
Q9NJS1 DI2010010 23 83
Q9LZP9 DI4100001 54 131
Q99ML1 DI1100052 130 155
Q99ML1 DI1100053 130 155
Q9JM54 DI1100054 17 42
Q9JM54 DI1100055 68 93
Q6BBK3 DI4200001 51 75
P9WHN5 DI2200004 21 64
Q96J02 DI1010064 246 270
P26010 DI1000204 768 798
P55211 DI1000205 316 321
P02309 DI1010065 2 16
P0ABT2 DI1200005 6 16
Q13188 DI1000206 371 401
P17785 DI2010011 1 14
Q79V60 DI2200005 485 518
Q15388 DI1000207 140 145
O13828 DI1100056 240 291
Q9BZ95 DI1000208 593 605
E5LC01 DI1020022 1086 1104
Q9BZ95 DI1000209 152 163
Q8UN00 DI1020023 1719 1735
P17133 DI1110017 405 425
P02671 DI3010002 25 35
P0A903 DI1200006 1 344
P0AFX8 DI2210002 77 108
P11142 DI1000210 635 646
P19483 DI1100057 44 68
P22216 DI1100058 3 12
P20333 DI3000006 420 428
P03230 DI3020001 204 210
P25942 DI3000007 250 258
P28908 DI3000008 576 583
P43489 DI3000009 261 266
P47047 DI2100006 1 20
P01106 DI1010066 320 328
P08581 DI2010012 1355 1359
Q15596 DI2000015 688 696
Q01094 DI2000016 87 95
P04637 DI2000017 376 386
P06400 DI2000018 868 878
P28749 DI2000019 653 663
Q24570 DI1100059 2 11
Q24106 DI1100060 2 11
P29352 DI1100061 605 629
P14737 DI1100062 599 607
P14737 DI1100063 188 200
Q9Y618 DI1000211 2347 2365
O88339 DI1110018 375 381
P49418 DI1010067 322 331
P42567 DI1100064 627 632
Q15596 DI1000212 734 754
P08592 DI1110019 755 763
P04626 DI1000213 1247 1255
Q13136 DI1010068 1195 1202
P49841 DI1000214 3 12
Q01344 DI1000215 413 420
P06400 DI1010069 858 877
P06180 DI1110020 532 553
P03070 DI1120010 110 134
Q62829 DI1100065 188 205
P00877 DI2100007 462 467
Q8PJB3 DI1200007 23 47
P07900 DI1000216 726 732
O00522 DI1000217 169 198
P05556 DI1000218 784 798
P05107 DI2010013 755 764
P03076 DI2020002 254 259
P58340 DI2000020 29 42
P68431 DI2000021 8 15
P36941 DI3000010 385 408
Q15648 DI2010014 640 652
Q24570 DI1100066 2 11
P04629 DI1000219 489 500
P05106 DI1000220 762 788
Q9BX63 DI1000221 988 995
O55000 DI1010070 393 433
O61667 DI1100067 46 102
